date,day_of_week,temperature_c,humidity_pct,school_out,ad_spend,website_visits,competitor_promo,lottery_numbers,ice_cream_sales
2023-07-11,Tuesday,21.2,53.9,1,47.21,328,0,17,429
2023-07-12,Wednesday,21.4,48.9,1,70.75,380,0,38,365
2023-07-13,Thursday,17.2,57.6,1,67.44,419,0,6,348
2023-07-14,Friday,21.1,63.1,1,58.62,299,0,48,473
2023-07-15,Saturday,21.9,64.5,1,92.15,511,0,14,423
2023-07-16,Sunday,19.7,67.4,1,100.38,810,0,19,416
2023-07-17,Monday,21.0,59.3,1,35.12,335,0,40,374
2023-07-18,Tuesday,23.6,60.0,1,63.84,520,0,11,421
2023-07-19,Wednesday,21.3,51.3,1,65.99,512,0,29,392
2023-07-20,Thursday,22.2,61.3,1,71.11,426,0,13,356
2023-07-21,Friday,26.4,60.1,1,52.93,374,0,11,477
2023-07-22,Saturday,23.8,45.7,1,88.93,546,0,24,424
2023-07-23,Sunday,21.5,64.0,1,67.98,416,0,33,463
2023-07-24,Monday,23.5,60.9,1,60.77,399,0,23,453
2023-07-25,Tuesday,20.8,53.3,1,59.96,391,0,21,403
2023-07-26,Wednesday,26.2,48.8,1,43.71,267,1,19,470
2023-07-27,Thursday,20.4,63.2,1,39.42,257,0,2,387
2023-07-28,Friday,21.6,68.7,1,38.79,307,0,8,393
2023-07-29,Saturday,20.0,61.8,1,89.29,459,1,32,366
2023-07-30,Sunday,21.4,56.9,1,76.79,464,1,28,442
2023-07-31,Monday,21.7,53.7,1,51.45,344,0,34,360
2023-08-01,Tuesday,17.4,57.8,1,52.22,382,0,3,292
2023-08-02,Wednesday,16.3,61.5,1,56.07,409,0,41,317
2023-08-03,Thursday,24.2,60.1,1,54.5,359,0,22,431
2023-08-04,Friday,20.1,59.8,1,43.31,323,0,5,330
2023-08-05,Saturday,20.2,44.4,1,90.85,527,0,3,394
2023-08-06,Sunday,23.4,47.1,1,95.31,517,0,19,441
2023-08-07,Monday,18.6,67.9,1,60.33,371,1,24,340
2023-08-08,Tuesday,22.2,42.8,1,63.64,402,0,24,429
2023-08-09,Wednesday,23.9,52.2,1,59.49,316,1,39,445
2023-08-10,Thursday,21.1,57.0,1,58.9,383,0,46,422
2023-08-11,Friday,17.6,64.6,1,52.69,399,0,23,331
2023-08-12,Saturday,19.2,52.4,1,70.85,532,0,33,404
2023-08-13,Sunday,22.1,48.3,1,89.79,505,0,29,437
2023-08-14,Monday,21.0,58.8,1,45.1,300,0,44,417
2023-08-15,Tuesday,18.5,61.6,1,50.77,386,1,24,325
2023-08-16,Wednesday,22.8,56.3,1,59.45,402,0,36,372
2023-08-17,Thursday,23.8,62.6,1,52.58,344,0,45,453
2023-08-18,Friday,19.0,67.8,1,68.22,316,0,6,404
2023-08-19,Saturday,22.8,41.7,1,99.39,540,0,36,365
2023-08-20,Sunday,18.9,65.1,1,71.94,529,0,33,361
2023-08-21,Monday,21.4,74.7,1,56.56,355,0,24,365
2023-08-22,Tuesday,19.3,61.7,1,42.71,330,0,46,359
2023-08-23,Wednesday,19.4,51.9,1,56.92,288,1,21,355
2023-08-24,Thursday,17.8,58.0,1,46.38,438,0,12,314
2023-08-25,Friday,19.9,55.5,1,34.59,319,0,34,382
2023-08-26,Saturday,20.9,53.7,1,98.85,465,0,6,487
2023-08-27,Sunday,19.6,67.5,1,79.85,470,0,35,435
2023-08-28,Monday,21.4,50.8,1,47.59,406,0,22,435
2023-08-29,Tuesday,21.1,51.3,1,55.89,383,1,42,398
2023-08-30,Wednesday,17.3,62.7,1,67.46,425,0,35,359
2023-08-31,Thursday,17.6,75.1,1,36.87,341,0,20,298
2023-09-01,Friday,20.1,61.9,0,63.54,369,1,46,276
2023-09-02,Saturday,15.7,78.2,0,79.19,527,0,33,208
2023-09-03,Sunday,17.9,55.6,0,86.55,503,0,25,278
2023-09-04,Monday,20.3,53.6,0,75.9,436,0,37,274
2023-09-05,Tuesday,16.9,71.8,0,82.9,370,0,6,265
2023-09-06,Wednesday,21.1,55.3,0,61.77,408,0,4,269
2023-09-07,Thursday,21.5,62.3,0,42.51,347,1,9,274
2023-09-08,Friday,21.1,51.2,0,55.83,338,0,37,243
2023-09-09,Saturday,17.0,59.5,0,94.61,459,0,40,272
2023-09-10,Sunday,17.3,58.1,0,94.92,523,0,22,230
2023-09-11,Monday,16.8,66.2,0,65.75,416,1,46,245
2023-09-12,Tuesday,16.1,67.6,0,41.92,369,0,21,246
2023-09-13,Wednesday,16.5,54.9,0,63.73,467,0,33,195
2023-09-14,Thursday,13.4,62.0,0,49.46,478,0,44,225
2023-09-15,Friday,18.7,55.1,0,75.15,522,0,17,227
2023-09-16,Saturday,21.2,55.5,0,87.31,428,0,38,251
2023-09-17,Sunday,17.1,59.0,0,68.2,357,0,37,288
2023-09-18,Monday,17.8,59.5,0,63.82,430,0,45,259
2023-09-19,Tuesday,19.3,54.0,0,47.94,424,0,34,206
2023-09-20,Wednesday,16.9,66.2,0,48.84,309,0,12,188
2023-09-21,Thursday,16.9,52.4,0,50.96,439,0,17,192
2023-09-22,Friday,14.7,60.3,0,55.56,471,0,20,221
2023-09-23,Saturday,12.0,62.5,0,74.52,385,0,47,204
2023-09-24,Sunday,15.5,65.2,0,80.97,431,0,23,297
2023-09-25,Monday,14.3,62.0,0,63.31,409,0,17,182
2023-09-26,Tuesday,15.3,58.2,0,59.1,365,0,18,253
2023-09-27,Wednesday,17.8,56.5,0,51.51,345,0,4,203
2023-09-28,Thursday,16.8,64.3,0,40.51,357,1,36,245
2023-09-29,Friday,14.7,55.8,0,38.52,249,0,19,210
2023-09-30,Saturday,13.1,71.9,0,89.07,498,0,35,214
2023-10-01,Sunday,9.7,80.0,0,90.7,418,0,3,219
2023-10-02,Monday,16.9,61.0,0,32.0,316,0,19,223
2023-10-03,Tuesday,14.0,60.8,0,53.53,436,0,35,202
2023-10-04,Wednesday,8.9,65.6,0,63.4,475,0,8,135
2023-10-05,Thursday,17.4,55.0,0,42.76,404,0,44,234
2023-10-06,Friday,13.8,59.9,0,68.75,340,0,33,195
2023-10-07,Saturday,15.8,76.0,0,101.53,416,1,25,262
2023-10-08,Sunday,13.7,73.6,0,93.73,514,0,1,224
2023-10-09,Monday,15.5,62.9,0,70.41,412,0,46,234
2023-10-10,Tuesday,13.5,54.7,0,40.34,232,0,15,196
2023-10-11,Wednesday,14.2,69.0,0,69.28,393,0,31,194
2023-10-12,Thursday,12.9,53.5,0,63.43,332,0,39,211
2023-10-13,Friday,11.8,56.3,0,60.82,481,1,36,210
2023-10-14,Saturday,13.7,61.3,0,79.88,471,0,29,236
2023-10-15,Sunday,13.3,61.7,0,83.56,384,0,33,212
2023-10-16,Monday,9.2,71.1,0,41.82,314,0,2,101
2023-10-17,Tuesday,14.6,62.7,0,42.64,402,1,4,213
2023-10-18,Wednesday,12.5,63.7,0,58.12,397,0,9,203
2023-10-19,Thursday,4.6,67.1,0,47.53,425,0,25,111
2023-10-20,Friday,8.6,74.1,0,49.29,309,0,23,232
2023-10-21,Saturday,16.5,59.0,0,89.11,625,0,20,241
2023-10-22,Sunday,7.1,71.1,0,77.2,497,0,30,138
2023-10-23,Monday,12.4,73.6,0,49.74,457,0,2,230
2023-10-24,Tuesday,10.7,68.3,0,46.88,328,0,4,170
2023-10-25,Wednesday,11.2,58.7,0,60.6,415,1,19,122
2023-10-26,Thursday,10.8,79.2,0,44.31,319,0,21,175
2023-10-27,Friday,15.2,69.7,0,54.89,351,0,38,232
2023-10-28,Saturday,13.9,54.4,0,78.58,430,0,23,268
2023-10-29,Sunday,8.4,69.0,0,77.48,442,0,49,177
2023-10-30,Monday,7.8,67.3,0,59.09,524,1,30,188
2023-10-31,Tuesday,7.8,75.9,0,53.49,417,0,42,166
2023-11-01,Wednesday,11.7,68.4,0,47.54,420,0,4,173
2023-11-02,Thursday,12.8,54.6,0,43.84,392,0,36,243
2023-11-03,Friday,9.3,71.2,0,63.21,393,0,14,249
2023-11-04,Saturday,6.3,87.0,0,112.61,550,0,14,171
2023-11-05,Sunday,7.1,71.6,0,82.61,533,0,42,140
2023-11-06,Monday,10.0,59.6,0,55.24,531,0,21,225
2023-11-07,Tuesday,10.4,63.4,0,45.18,398,0,10,210
2023-11-08,Wednesday,8.5,59.6,0,48.18,358,0,37,171
2023-11-09,Thursday,9.4,60.9,0,47.67,292,0,32,207
2023-11-10,Friday,7.1,65.3,0,56.62,408,0,32,121
2023-11-11,Saturday,9.8,78.3,0,111.34,581,0,5,249
2023-11-12,Sunday,6.3,70.2,0,76.03,490,0,1,124
2023-11-13,Monday,7.9,74.8,0,69.55,475,0,31,153
2023-11-14,Tuesday,6.8,63.1,0,54.27,485,0,19,143
2023-11-15,Wednesday,11.6,66.5,0,48.04,272,0,7,216
2023-11-16,Thursday,5.4,70.7,0,70.26,445,0,6,166
2023-11-17,Friday,5.0,75.0,0,28.48,227,0,44,111
2023-11-18,Saturday,5.7,78.7,0,85.66,560,0,31,153
2023-11-19,Sunday,6.8,69.5,0,92.02,584,0,22,96
2023-11-20,Monday,4.3,77.2,0,63.37,462,0,37,126
2023-11-21,Tuesday,5.4,70.5,0,76.83,531,0,37,126
2023-11-22,Wednesday,4.7,71.4,0,55.07,402,0,26,137
2023-11-23,Thursday,7.8,66.2,0,44.62,326,0,44,166
2023-11-24,Friday,4.4,71.2,0,51.05,475,0,23,109
2023-11-25,Saturday,8.2,70.2,0,91.39,473,0,39,124
2023-11-26,Sunday,8.1,72.8,0,88.06,578,0,25,168
2023-11-27,Monday,1.9,76.8,0,54.35,369,0,16,88
2023-11-28,Tuesday,4.2,76.6,0,69.62,378,0,7,79
2023-11-29,Wednesday,10.1,74.3,0,40.72,377,1,6,175
2023-11-30,Thursday,7.5,62.8,0,53.21,442,1,39,149
2023-12-01,Friday,6.0,58.1,0,66.98,439,0,47,199
2023-12-02,Saturday,1.6,81.1,0,84.92,526,1,20,136
2023-12-03,Sunday,4.5,74.4,0,90.71,559,0,5,83
2023-12-04,Monday,9.1,66.0,0,45.23,309,1,1,128
2023-12-05,Tuesday,6.5,67.7,0,43.61,278,0,22,69
2023-12-06,Wednesday,6.3,64.9,0,45.86,335,0,31,172
2023-12-07,Thursday,1.7,87.5,0,64.94,418,0,32,155
2023-12-08,Friday,3.2,69.8,0,64.03,437,0,13,76
2023-12-09,Saturday,1.4,69.4,0,81.58,417,0,30,124
2023-12-10,Sunday,3.3,75.3,0,68.84,547,0,44,141
2023-12-11,Monday,0.2,74.4,0,57.61,490,0,25,173
2023-12-12,Tuesday,7.1,62.9,0,58.22,269,0,35,139
2023-12-13,Wednesday,10.0,70.2,0,51.45,275,0,6,186
2023-12-14,Thursday,4.7,69.0,0,51.75,322,0,42,86
2023-12-15,Friday,0.0,80.5,0,67.33,422,1,17,91
2023-12-16,Saturday,7.4,60.1,0,81.54,496,0,44,193
2023-12-17,Sunday,0.7,70.3,0,85.75,511,1,27,111
2023-12-18,Monday,2.7,77.2,0,42.9,318,0,34,117
2023-12-19,Tuesday,0.3,75.1,0,42.74,385,0,20,121
2023-12-20,Wednesday,4.1,76.8,0,58.36,487,0,48,154
2023-12-21,Thursday,3.0,75.9,1,63.94,489,0,15,241
2023-12-22,Friday,-0.5,78.4,1,70.58,369,0,29,237
2023-12-23,Saturday,0.7,70.8,1,85.22,459,0,5,162
2023-12-24,Sunday,0.6,68.5,1,84.95,507,0,32,233
2023-12-25,Monday,-0.9,73.8,1,45.89,313,0,23,164
2023-12-26,Tuesday,4.8,74.9,1,70.41,488,0,44,174
2023-12-27,Wednesday,3.4,74.1,1,55.03,428,0,33,189
2023-12-28,Thursday,4.7,65.3,1,52.47,309,0,12,239
2023-12-29,Friday,-0.3,72.5,1,62.77,460,0,4,255
2023-12-30,Saturday,-2.2,72.4,1,87.9,450,0,27,243
2023-12-31,Sunday,1.3,67.9,1,93.48,468,1,2,236
2024-01-01,Monday,0.6,78.3,1,58.76,380,0,32,260
2024-01-02,Tuesday,1.1,72.8,1,70.34,514,0,24,156
2024-01-03,Wednesday,1.1,74.1,1,46.57,375,0,42,235
2024-01-04,Thursday,2.2,67.8,0,68.29,439,0,6,0
2024-01-05,Friday,5.1,71.2,0,50.12,405,0,46,76
2024-01-06,Saturday,0.1,70.5,0,74.34,390,0,4,46
2024-01-07,Sunday,0.8,71.0,0,83.95,543,0,33,94
2024-01-08,Monday,5.8,69.1,0,78.64,562,0,4,213
2024-01-09,Tuesday,1.8,81.6,0,71.81,452,0,49,156
2024-01-10,Wednesday,3.4,66.9,0,66.35,498,0,25,65
2024-01-11,Thursday,3.1,74.1,0,54.48,342,0,24,99
2024-01-12,Friday,-0.8,77.2,0,39.98,280,0,6,59
2024-01-13,Saturday,-0.7,72.3,0,79.46,547,0,28,104
2024-01-14,Sunday,3.3,65.7,0,83.95,538,0,9,85
2024-01-15,Monday,0.8,68.9,0,70.18,472,0,30,95
2024-01-16,Tuesday,7.7,69.8,0,63.63,478,0,28,167
2024-01-17,Wednesday,5.7,76.0,0,68.3,515,0,42,203
2024-01-18,Thursday,1.4,75.4,0,50.24,301,1,41,64
2024-01-19,Friday,5.7,70.9,0,72.19,452,0,9,136
2024-01-20,Saturday,-0.5,71.0,0,86.48,505,0,8,128
2024-01-21,Sunday,1.9,74.7,0,90.53,445,1,21,150
2024-01-22,Monday,0.7,77.8,0,44.15,428,0,42,92
2024-01-23,Tuesday,2.0,72.2,0,57.49,363,0,41,63
2024-01-24,Wednesday,2.1,59.5,0,49.7,331,0,7,101
2024-01-25,Thursday,3.1,71.4,0,48.55,274,0,42,125
2024-01-26,Friday,4.9,74.5,0,46.73,315,0,45,182
2024-01-27,Saturday,3.0,75.1,0,83.05,460,0,42,104
2024-01-28,Sunday,7.3,73.1,0,99.06,527,1,32,160
2024-01-29,Monday,1.6,74.1,0,56.86,365,0,37,112
2024-01-30,Tuesday,-0.4,78.5,0,63.14,481,0,5,91
2024-01-31,Wednesday,2.5,72.5,0,60.74,511,0,41,123
2024-02-01,Thursday,1.4,63.5,0,48.92,399,0,35,62
2024-02-02,Friday,1.1,71.1,0,69.07,473,0,26,153
2024-02-03,Saturday,-1.1,70.2,0,79.51,409,0,28,79
2024-02-04,Sunday,-2.2,78.8,0,89.49,453,0,20,109
2024-02-05,Monday,0.8,66.4,0,58.72,414,1,1,127
2024-02-06,Tuesday,8.0,57.8,0,55.5,388,1,18,129
2024-02-07,Wednesday,2.6,69.5,0,65.34,397,0,34,155
2024-02-08,Thursday,4.4,69.0,0,56.2,342,0,37,125
2024-02-09,Friday,3.6,74.7,0,61.18,288,0,8,117
2024-02-10,Saturday,5.9,81.4,0,93.55,530,0,10,192
2024-02-11,Sunday,5.8,83.7,0,105.71,594,0,42,132
